scope	command_group	exit_status	evidence_locator	result
six audited skills	canonical quick_validate.py over explicit in-scope paths	0	raw/packages-python.txt	6 of 6 valid
brief-linked-evidence	unittest discovery	0	raw/packages-python.txt	18 tests passed
map-technical-landscapes	unittest discovery	0	raw/packages-python.txt	33 tests passed
mine-history-tool-landscapes	unittest discovery	0	raw/packages-python.txt	23 tests passed
agent-mail	make check plus real-test	0	raw/agent-mail.txt	fmt, clippy, 5 Rust tests, real PostgreSQL HTTP and MCP passed
front-agent-orchestration	vet, unit, race, shuffle, syntax, offline smoke	0	raw/front-agent.txt	all passed; no generated binary
repository	installer, inventory, links, diff, audited-scope cache hygiene	0	raw/repository-final.txt	7 discoverable links per destination; foreign symlink backup, idempotence, no-Go refusal, and static checks passed
align-work	audit, validators, fixtures, and remediation	not-run	align-work-baseline.tsv	explicitly excluded by user; no verdict
agent-mail	public MCP smoke	not-run	evidence.md#agent-mail	requires separate live-production mutation authority
mine-history-tool-landscapes	real private histories and remote sources	not-run	evidence.md#repository	outside authorized synthetic-only audit scope
six audited skills plus repository	fresh final integration verification	0	raw/final-verification.txt	all required local gates passed; align-work explicitly excluded
six audited skills	static trigger matrix: positive, negative, overlap, misuse, FP/FN risk	0	trigger-matrix.tsv	24 of 24 cases reconciled
six audited skills plus repository	independent final critical review	0	final-review.md	PASS; no remaining P0-P2 blockers
