suite	case_type	test	locator
brief-linked-evidence	valid-control	test_valid_baseline	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:108
brief-linked-evidence	valid-control	test_cli_accepts_valid_brief	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:111
brief-linked-evidence	invalid-adversarial	test_malformed_reference_types_never_crash	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:116
brief-linked-evidence	invalid-adversarial	test_malformed_ids_never_crash	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:123
brief-linked-evidence	invalid-adversarial	test_answer_status_uses_root_ledger	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:130
brief-linked-evidence	invalid-adversarial	test_secret_and_signed_locator_bypasses_are_rejected	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:160
brief-linked-evidence	invalid-adversarial	test_sensitive_key_and_private_receipt_content_are_rejected	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:179
brief-linked-evidence	valid-control	test_explicit_redaction_is_allowed	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:188
brief-linked-evidence	valid-control	test_locator_kinds_are_validated	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:193
brief-linked-evidence	invalid-adversarial	test_cross_collection_id_collision_is_rejected	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:221
brief-linked-evidence	invalid-adversarial	test_conflict_fixture_is_consistent_and_required	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:239
brief-linked-evidence	valid-control	test_inference_requires_valid_fact_grounding	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:281
brief-linked-evidence	valid-control	test_acquired_source_requires_valid_receipt	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:296
brief-linked-evidence	invalid-adversarial	test_source_provenance_fields_are_required_for_every_status	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:301
brief-linked-evidence	invalid-adversarial	test_github_source_requires_version_or_update_context	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:333
brief-linked-evidence	invalid-adversarial	test_completed_action_requires_anchor_receipt_and_ordering	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:344
brief-linked-evidence	invalid-adversarial	test_strict_json_rejects_duplicate_keys_and_nonfinite_numbers	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:381
brief-linked-evidence	valid-control	test_help	skills/brief-linked-evidence/tests/test_validate_evidence_brief.py:397
map-technical-landscapes	valid-control	test_valid_v2_fixture	skills/map-technical-landscapes/tests/test_validate_landscape.py:33
map-technical-landscapes	valid-control	test_machine_schema_root_matches_validator	skills/map-technical-landscapes/tests/test_validate_landscape.py:36
map-technical-landscapes	valid-control	test_valid_fixture_passes_full_machine_schema	skills/map-technical-landscapes/tests/test_validate_landscape.py:41
map-technical-landscapes	valid-control	test_cli_accepts_valid_fixture	skills/map-technical-landscapes/tests/test_validate_landscape.py:50
map-technical-landscapes	valid-control	test_cli_help	skills/map-technical-landscapes/tests/test_validate_landscape.py:60
map-technical-landscapes	invalid-adversarial	test_cli_rejects_non_json_nan	skills/map-technical-landscapes/tests/test_validate_landscape.py:70
map-technical-landscapes	invalid-adversarial	test_cli_rejects_duplicate_root_key	skills/map-technical-landscapes/tests/test_validate_landscape.py:91
map-technical-landscapes	invalid-adversarial	test_cli_rejects_duplicate_nested_key	skills/map-technical-landscapes/tests/test_validate_landscape.py:96
map-technical-landscapes	valid-control	test_direct_validator_rejects_nonfinite_number	skills/map-technical-landscapes/tests/test_validate_landscape.py:101
map-technical-landscapes	invalid-adversarial	test_duplicate_alias_is_rejected_after_normalization	skills/map-technical-landscapes/tests/test_validate_landscape.py:106
map-technical-landscapes	invalid-adversarial	test_alias_requires_identity_decision_and_discovery_record	skills/map-technical-landscapes/tests/test_validate_landscape.py:111
map-technical-landscapes	invalid-adversarial	test_unknown_cell_requires_matching_unknown_field_gap	skills/map-technical-landscapes/tests/test_validate_landscape.py:116
map-technical-landscapes	invalid-adversarial	test_not_applicable_cell_requires_candidate_and_field_claim	skills/map-technical-landscapes/tests/test_validate_landscape.py:139
map-technical-landscapes	invalid-adversarial	test_inference_requires_distinct_source_equivalence_groups	skills/map-technical-landscapes/tests/test_validate_landscape.py:151
map-technical-landscapes	invalid-adversarial	test_duplicate_locator_is_rejected	skills/map-technical-landscapes/tests/test_validate_landscape.py:159
map-technical-landscapes	invalid-adversarial	test_password_only_url_is_rejected	skills/map-technical-landscapes/tests/test_validate_landscape.py:164
map-technical-landscapes	invalid-adversarial	test_secret_query_and_fragment_parameters_are_rejected	skills/map-technical-landscapes/tests/test_validate_landscape.py:169
map-technical-landscapes	invalid-adversarial	test_timestamp_without_seconds_is_rejected	skills/map-technical-landscapes/tests/test_validate_landscape.py:179
map-technical-landscapes	invalid-adversarial	test_commit_locator_requires_repository_context	skills/map-technical-landscapes/tests/test_validate_landscape.py:184
map-technical-landscapes	invalid-adversarial	test_failed_search_cannot_prove_stop_even_with_gap	skills/map-technical-landscapes/tests/test_validate_landscape.py:191
map-technical-landscapes	invalid-adversarial	test_stop_evidence_must_be_chronological	skills/map-technical-landscapes/tests/test_validate_landscape.py:211
map-technical-landscapes	invalid-adversarial	test_stop_evidence_must_include_latest_completed_search	skills/map-technical-landscapes/tests/test_validate_landscape.py:216
map-technical-landscapes	invalid-adversarial	test_stop_evidence_cannot_omit_middle_completed_search	skills/map-technical-landscapes/tests/test_validate_landscape.py:226
map-technical-landscapes	invalid-adversarial	test_search_requires_query_and_family_fields	skills/map-technical-landscapes/tests/test_validate_landscape.py:238
map-technical-landscapes	invalid-adversarial	test_identity_name_has_only_one_decision	skills/map-technical-landscapes/tests/test_validate_landscape.py:243
map-technical-landscapes	invalid-adversarial	test_technique_requires_name_and_description	skills/map-technical-landscapes/tests/test_validate_landscape.py:268
map-technical-landscapes	invalid-adversarial	test_technique_claim_must_cover_assigned_candidate	skills/map-technical-landscapes/tests/test_validate_landscape.py:273
map-technical-landscapes	invalid-adversarial	test_discovery_counts_are_derived	skills/map-technical-landscapes/tests/test_validate_landscape.py:279
map-technical-landscapes	invalid-adversarial	test_boolean_counts_are_rejected	skills/map-technical-landscapes/tests/test_validate_landscape.py:284
map-technical-landscapes	invalid-adversarial	test_secondary_gap_references_must_match_claim	skills/map-technical-landscapes/tests/test_validate_landscape.py:296
map-technical-landscapes	invalid-adversarial	test_malformed_types_return_errors_without_crashing	skills/map-technical-landscapes/tests/test_validate_landscape.py:315
map-technical-landscapes	invalid-adversarial	test_cli_returns_json_for_malformed_structured_type	skills/map-technical-landscapes/tests/test_validate_landscape.py:347
map-technical-landscapes	invalid-adversarial	test_unknown_nested_property_is_rejected	skills/map-technical-landscapes/tests/test_validate_landscape.py:358
mine-history-tool-landscapes	valid-control	test_valid_pipeline_and_strict_permissions	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:235
mine-history-tool-landscapes	invalid-adversarial	test_publication_redaction_rejects_security_payloads_and_keys	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:244
mine-history-tool-landscapes	invalid-adversarial	test_manifest_paths_are_rejected_before_digest	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:268
mine-history-tool-landscapes	invalid-adversarial	test_metadata_smuggling_and_symlink_source_are_rejected	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:279
mine-history-tool-landscapes	invalid-adversarial	test_unhashable_alias_is_a_contract_error	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:295
mine-history-tool-landscapes	invalid-adversarial	test_post_cutoff_descendant_cannot_seed_namespace	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:301
mine-history-tool-landscapes	invalid-adversarial	test_campaign_chronology_and_key_permissions	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:343
mine-history-tool-landscapes	invalid-adversarial	test_ids_are_salted_per_index	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:355
mine-history-tool-landscapes	invalid-adversarial	test_remote_receipt_must_be_frozen_and_hash_bound	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:364
mine-history-tool-landscapes	valid-control	test_validator_inputs_reject_symlinks_special_files_and_oversize	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:384
mine-history-tool-landscapes	invalid-adversarial	test_duplicate_json_keys_fail_closed_at_every_boundary	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:403
mine-history-tool-landscapes	invalid-adversarial	test_index_integrity_exclusion_and_permission_checks	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:472
mine-history-tool-landscapes	invalid-adversarial	test_private_observation_counts_reconcile_duplicates	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:490
mine-history-tool-landscapes	invalid-adversarial	test_locator_must_match_observation	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:509
mine-history-tool-landscapes	invalid-adversarial	test_native_lineage_must_be_complete	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:518
mine-history-tool-landscapes	invalid-adversarial	test_native_id_matching_required_schema_key_does_not_false_positive	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:525
mine-history-tool-landscapes	invalid-adversarial	test_deep_lineage_is_iterative	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:534
mine-history-tool-landscapes	invalid-adversarial	test_standalone_artifact_is_grounded_without_fake_record	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:562
mine-history-tool-landscapes	invalid-adversarial	test_optional_campaign_retention_and_source_bounds	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:647
mine-history-tool-landscapes	invalid-adversarial	test_aggregate_source_limits_and_in_place_mutation	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:663
mine-history-tool-landscapes	invalid-adversarial	test_workflow_duplicate_decisions_and_publication_completeness	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:692
mine-history-tool-landscapes	invalid-adversarial	test_workflow_recurrence_candidate_cannot_be_orphaned	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:728
mine-history-tool-landscapes	invalid-adversarial	test_synthetic_roots_cannot_satisfy_create_threshold	skills/mine-history-tool-landscapes/tests/test_history_pipeline.py:772
